Test  | A*        | A* time   | A* len    | D* Lite   | D* time   | D* len    
82    | Path found| 0.438     | 74        | Path found| 3.249     | 74        
83    | Path found| 0.271     | 74        | Path found| 3.126     | 74        
84    | Path found| 0.561     | 76        | Path found| 3.318     | 76        
85    | Path found| 0.418     | 71        | Path found| 2.869     | 71        
86    | Path found| 0.572     | 72        | Path found| 2.927     | 72        
87    | Path found| 0.758     | 76        | Path found| 3.083     | 76        
88    | Path found| 0.433     | 77        | Path found| 3.307     | 77        
89    | Path found| 0.315     | 71        | Path found| 2.814     | 71        
90    | Path found| 0.423     | 77        | Path found| 3.400     | 77        
91    | Path found| 0.658     | 73        | Path found| 3.123     | 73        
92    | Path found| 0.452     | 80        | Path found| 3.681     | 80        
93    | Path found| 0.332     | 77        | Path found| 3.488     | 77        
94    | Path found| 0.519     | 83        | Path found| 4.047     | 83        
95    | Path found| 0.259     | 81        | Path found| 3.862     | 81        
96    | Path found| 0.585     | 80        | Path found| 3.609     | 80        
97    | Path found| 0.276     | 71        | Path found| 3.009     | 71        
98    | Path found| 0.287     | 86        | Path found| 4.318     | 86        
99    | Path found| 0.310     | 73        | Path found| 3.128     | 73        
100   | Path found| 0.293     | 76        | Path found| 3.316     | 76        
101   | Path found| 0.533     | 78        | Path found| 3.358     | 78        
102   | Path found| 0.287     | 73        | Path found| 2.793     | 73        
103   | Path found| 0.544     | 75        | Path found| 3.284     | 75        
104   | Path found| 0.626     | 70        | Path found| 2.916     | 70        
105   | Path found| 0.843     | 78        | Path found| 3.534     | 78        
106   | Path found| 0.281     | 72        | Path found| 2.850     | 72        
107   | Path found| 0.311     | 72        | Path found| 3.069     | 72        
108   | Path found| 0.277     | 70        | Path found| 2.792     | 70        
109   | Path found| 0.265     | 73        | Path found| 3.054     | 73        
110   | Path found| 0.273     | 70        | Path found| 2.689     | 70        
111   | Path found| 0.559     | 81        | Path found| 3.781     | 81        
112   | Path found| 0.263     | 73        | Path found| 3.209     | 73        
113   | Path found| 0.785     | 75        | Path found| 3.173     | 75        
114   | Path found| 0.371     | 72        | Path found| 3.002     | 72        
115   | Path found| 0.545     | 72        | Path found| 3.072     | 72        
116   | Path found| 0.560     | 83        | Path found| 3.903     | 83        
117   | Path found| 0.614     | 84        | Path found| 4.128     | 84        
118   | Path found| 0.312     | 72        | Path found| 2.873     | 72        
119   | Path found| 0.317     | 72        | Path found| 2.943     | 72        
120   | Path found| 0.374     | 77        | Path found| 3.448     | 77        
121   | Path found| 0.707     | 71        | Path found| 2.873     | 71        
122   | Path found| 0.273     | 78        | Path found| 3.474     | 78        
123   | Path found| 0.687     | 76        | Path found| 3.522     | 76        
124   | Path found| 0.546     | 75        | Path found| 3.285     | 75        
125   | Path found| 0.696     | 78        | Path found| 3.545     | 78        
126   | Path found| 0.288     | 70        | Path found| 2.927     | 70        
127   | Path found| 0.303     | 73        | Path found| 3.011     | 73        
128   | Path found| 0.492     | 74        | Path found| 3.092     | 74        
129   | Path found| 0.672     | 71        | Path found| 2.988     | 71        
130   | Path found| 0.499     | 71        | Path found| 2.766     | 71        
131   | Path found| 0.595     | 79        | Path found| 3.556     | 79        
132   | Path found| 0.270     | 77        | Path found| 3.403     | 77        
133   | Path found| 0.743     | 77        | Path found| 3.464     | 77        
134   | Path found| 0.227     | 70        | Path found| 2.805     | 70        
135   | Path found| 0.327     | 71        | Path found| 2.869     | 71        
136   | Path found| 0.813     | 76        | Path found| 3.417     | 76        
137   | Path found| 0.290     | 76        | Path found| 3.012     | 76        
138   | Path found| 0.410     | 71        | Path found| 2.933     | 71        
139   | Path found| 0.496     | 71        | Path found| 2.935     | 71        
140   | Path found| 0.505     | 73        | Path found| 3.169     | 73        
141   | Path found| 0.476     | 73        | Path found| 2.934     | 73        
142   | Path found| 0.431     | 70        | Path found| 2.836     | 70        
143   | Path found| 0.267     | 71        | Path found| 2.850     | 71        
144   | Path found| 0.243     | 70        | Path found| 2.815     | 70        
145   | Path found| 0.234     | 70        | Path found| 2.782     | 70        
146   | Path found| 0.454     | 73        | Path found| 2.713     | 73        
147   | Path found| 0.765     | 77        | Path found| 3.560     | 77        
148   | Path found| 0.720     | 71        | Path found| 2.957     | 71        
149   | Path found| 0.636     | 81        | Path found| 3.635     | 81        
150   | Path found| 0.800     | 79        | Path found| 3.679     | 79        
151   | Path found| 0.492     | 72        | Path found| 2.965     | 72        
152   | Path found| 0.392     | 80        | Path found| 3.718     | 80        
153   | Path found| 0.300     | 77        | Path found| 3.498     | 77        
154   | Path found| 0.582     | 73        | Path found| 3.071     | 73        
155   | Path found| 0.580     | 72        | Path found| 3.106     | 72        
156   | Path found| 0.345     | 74        | Path found| 3.216     | 74        
157   | Path found| 0.259     | 71        | Path found| 3.016     | 71        
